Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,635,2362,1499870,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,2nd of 8,NaN,NaN,NaN,NaN,November 2020,2,1074,2420,2599080,1074,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1268,2523,3199164,1268,Raipur
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Not Available,Ready to move,3,1st of 7,NaN,NaN,NaN,NaN,October 2020,3,1268,2523,3199164,1268,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,635,2362,1499870,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1630,2250,3667500,1630,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,October 2020,2,995,2613,2599935,995,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 7,NaN,NaN,NaN,NaN,October 2020,3,1270,2519,3199130,1270,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,October 2020,2,995,2613,2599935,995,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,3rd of 7,NaN,NaN,NaN,NaN,November 2020,3,1268,2523,3199164,1268,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,1st of 7,NaN,NaN,NaN,NaN,October 2020,3,1268,2523,3199164,1268,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,3rd of 6,NaN,NaN,NaN,NaN,October 2020,3,1725,2249,3879525,1725,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,3rd of 6,NaN,NaN,NaN,NaN,October 2020,3,1348,2595,3498060,1348,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,1074,2327,2499198,1074,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,1074,2327,2499198,1074,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 8,NaN,NaN,NaN,NaN,November 2020,2,700,2142,1499400,700,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,1074,2326,2498124,1074,Raipur
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,October 2020,2,635,2362,1499870,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 7,NaN,NaN,NaN,NaN,November 2020,2,995,2613,2599935,995,Raipur
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1800,2250,4050000,1800,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,5th of 8,NaN,NaN,NaN,NaN,October 2020,2,635,2360,1498600,635,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 8,NaN,NaN,NaN,NaN,October 2020,2,1074,2327,2499198,1074,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,1st of 6,NaN,NaN,NaN,NaN,October 2020,2,995,2613,2599935,995,Raipur
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 8,NaN,NaN,NaN,NaN,October 2020,2,635,2362,1499870,635,Raipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1268,2523,3199164,1268,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,2nd of 7,NaN,NaN,NaN,NaN,October 2020,3,1268,2523,3199164,1268,Raipur
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1268,2523,3199164,1268,Raipur
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,1st of 6,NaN,NaN,NaN,NaN,October 2020,3,1700,2250,3825000,1700,Raipur
